"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"DEU","LTINT","TOT","PC_PA","M","2007-01",4.017273,
"DEU","LTINT","TOT","PC_PA","M","2007-02",4.049,
"DEU","LTINT","TOT","PC_PA","M","2007-03",3.941364,
"DEU","LTINT","TOT","PC_PA","M","2007-04",4.152632,
"DEU","LTINT","TOT","PC_PA","M","2007-05",4.279047,
"DEU","LTINT","TOT","PC_PA","M","2007-06",4.560476,
"DEU","LTINT","TOT","PC_PA","M","2007-07",4.505,
"DEU","LTINT","TOT","PC_PA","M","2007-08",4.296522,
"DEU","LTINT","TOT","PC_PA","M","2007-09",4.226,
"DEU","LTINT","TOT","PC_PA","M","2007-10",4.282609,
"DEU","LTINT","TOT","PC_PA","M","2007-11",4.089545,
"DEU","LTINT","TOT","PC_PA","M","2007-12",4.205883,
"DEU","LTINT","TOT","PC_PA","M","2008-01",4.027727,
"DEU","LTINT","TOT","PC_PA","M","2008-02",3.952857,
"DEU","LTINT","TOT","PC_PA","M","2008-03",3.799474,
"DEU","LTINT","TOT","PC_PA","M","2008-04",4.04,
"DEU","LTINT","TOT","PC_PA","M","2008-05",4.201905,
"DEU","LTINT","TOT","PC_PA","M","2008-06",4.520476,
"DEU","LTINT","TOT","PC_PA","M","2008-07",4.490435,
"DEU","LTINT","TOT","PC_PA","M","2008-08",4.202381,
"DEU","LTINT","TOT","PC_PA","M","2008-09",4.094091,
"DEU","LTINT","TOT","PC_PA","M","2008-10",3.883913,
"DEU","LTINT","TOT","PC_PA","M","2008-11",3.5565,
"DEU","LTINT","TOT","PC_PA","M","2008-12",3.047895,
"DEU","LTINT","TOT","PC_PA","M","2009-01",3.070952,
"DEU","LTINT","TOT","PC_PA","M","2009-02",3.1275,
"DEU","LTINT","TOT","PC_PA","M","2009-03",3.019546,
"DEU","LTINT","TOT","PC_PA","M","2009-04",3.133,
"DEU","LTINT","TOT","PC_PA","M","2009-05",3.371,
"DEU","LTINT","TOT","PC_PA","M","2009-06",3.473636,
"DEU","LTINT","TOT","PC_PA","M","2009-07",3.337826,
"DEU","LTINT","TOT","PC_PA","M","2009-08",3.305238,
"DEU","LTINT","TOT","PC_PA","M","2009-09",3.263182,
"DEU","LTINT","TOT","PC_PA","M","2009-10",3.209091,
"DEU","LTINT","TOT","PC_PA","M","2009-11",3.217143,
"DEU","LTINT","TOT","PC_PA","M","2009-12",3.1385,
"DEU","LTINT","TOT","PC_PA","M","2010-01",3.2575,
"DEU","LTINT","TOT","PC_PA","M","2010-02",3.17,
"DEU","LTINT","TOT","PC_PA","M","2010-03",3.102174,
"DEU","LTINT","TOT","PC_PA","M","2010-04",3.0645,
"DEU","LTINT","TOT","PC_PA","M","2010-05",2.734286,
"DEU","LTINT","TOT","PC_PA","M","2010-06",2.543182,
"DEU","LTINT","TOT","PC_PA","M","2010-07",2.615909,
"DEU","LTINT","TOT","PC_PA","M","2010-08",2.35,
"DEU","LTINT","TOT","PC_PA","M","2010-09",2.300455,
"DEU","LTINT","TOT","PC_PA","M","2010-10",2.345714,
"DEU","LTINT","TOT","PC_PA","M","2010-11",2.533182,
"DEU","LTINT","TOT","PC_PA","M","2010-12",2.914762,
"DEU","LTINT","TOT","PC_PA","M","2011-01",3.016667,
"DEU","LTINT","TOT","PC_PA","M","2011-02",3.199,
"DEU","LTINT","TOT","PC_PA","M","2011-03",3.211739,
"DEU","LTINT","TOT","PC_PA","M","2011-04",3.340526,
"DEU","LTINT","TOT","PC_PA","M","2011-05",3.060909,
"DEU","LTINT","TOT","PC_PA","M","2011-06",2.890909,
"DEU","LTINT","TOT","PC_PA","M","2011-07",2.743809,
"DEU","LTINT","TOT","PC_PA","M","2011-08",2.213478,
"DEU","LTINT","TOT","PC_PA","M","2011-09",1.829091,
"DEU","LTINT","TOT","PC_PA","M","2011-10",2.002381,
"DEU","LTINT","TOT","PC_PA","M","2011-11",1.874545,
"DEU","LTINT","TOT","PC_PA","M","2011-12",1.927619,
"DEU","LTINT","TOT","PC_PA","M","2012-01",1.820909,
"DEU","LTINT","TOT","PC_PA","M","2012-02",1.851905,
"DEU","LTINT","TOT","PC_PA","M","2012-03",1.830455,
"DEU","LTINT","TOT","PC_PA","M","2012-04",1.62421,
"DEU","LTINT","TOT","PC_PA","M","2012-05",1.336818,
"DEU","LTINT","TOT","PC_PA","M","2012-06",1.300476,
"DEU","LTINT","TOT","PC_PA","M","2012-07",1.242273,
"DEU","LTINT","TOT","PC_PA","M","2012-08",1.341739,
"DEU","LTINT","TOT","PC_PA","M","2012-09",1.4905,
"DEU","LTINT","TOT","PC_PA","M","2012-10",1.466956,
"DEU","LTINT","TOT","PC_PA","M","2012-11",1.335909,
"DEU","LTINT","TOT","PC_PA","M","2012-12",1.299412,
"DEU","LTINT","TOT","PC_PA","M","2013-01",1.512273,
"DEU","LTINT","TOT","PC_PA","M","2013-02",1.5435,
"DEU","LTINT","TOT","PC_PA","M","2013-03",1.3545,
"DEU","LTINT","TOT","PC_PA","M","2013-04",1.19619,
"DEU","LTINT","TOT","PC_PA","M","2013-05",1.294091,
"DEU","LTINT","TOT","PC_PA","M","2013-06",1.5305,
"DEU","LTINT","TOT","PC_PA","M","2013-07",1.565652,
"DEU","LTINT","TOT","PC_PA","M","2013-08",1.735,
"DEU","LTINT","TOT","PC_PA","M","2013-09",1.888095,
"DEU","LTINT","TOT","PC_PA","M","2013-10",1.762174,
"DEU","LTINT","TOT","PC_PA","M","2013-11",1.677143,
"DEU","LTINT","TOT","PC_PA","M","2013-12",1.797778,
"DEU","LTINT","TOT","PC_PA","M","2014-01",1.755909,
"DEU","LTINT","TOT","PC_PA","M","2014-02",1.5585,
"DEU","LTINT","TOT","PC_PA","M","2014-03",1.508571,
"DEU","LTINT","TOT","PC_PA","M","2014-04",1.4565,
"DEU","LTINT","TOT","PC_PA","M","2014-05",1.327143,
"DEU","LTINT","TOT","PC_PA","M","2014-06",1.264286,
"DEU","LTINT","TOT","PC_PA","M","2014-07",1.114348,
"DEU","LTINT","TOT","PC_PA","M","2014-08",0.9566666,
"DEU","LTINT","TOT","PC_PA","M","2014-09",0.9213637,
"DEU","LTINT","TOT","PC_PA","M","2014-10",0.7909091,
"DEU","LTINT","TOT","PC_PA","M","2014-11",0.719,
"DEU","LTINT","TOT","PC_PA","M","2014-12",0.5889474,
"DEU","LTINT","TOT","PC_PA","M","2015-01",0.39,
"DEU","LTINT","TOT","PC_PA","M","2015-02",0.302,
"DEU","LTINT","TOT","PC_PA","M","2015-03",0.2277273,
"DEU","LTINT","TOT","PC_PA","M","2015-04",0.122,
"DEU","LTINT","TOT","PC_PA","M","2015-05",0.5557895,
"DEU","LTINT","TOT","PC_PA","M","2015-06",0.7927273,
"DEU","LTINT","TOT","PC_PA","M","2015-07",0.71,
"DEU","LTINT","TOT","PC_PA","M","2015-08",0.6090476,
"DEU","LTINT","TOT","PC_PA","M","2015-09",0.6545454,
"DEU","LTINT","TOT","PC_PA","M","2015-10",0.5181818,
"DEU","LTINT","TOT","PC_PA","M","2015-11",0.5161905,
"DEU","LTINT","TOT","PC_PA","M","2015-12",0.5455,
"DEU","LTINT","TOT","PC_PA","M","2016-01",0.4305,
"DEU","LTINT","TOT","PC_PA","M","2016-02",0.1733333,
"DEU","LTINT","TOT","PC_PA","M","2016-03",0.1714286,
"DEU","LTINT","TOT","PC_PA","M","2016-04",0.1347619,
"DEU","LTINT","TOT","PC_PA","M","2016-05",0.1328571,
"DEU","LTINT","TOT","PC_PA","M","2016-06",-0.01681818,
"DEU","LTINT","TOT","PC_PA","M","2016-07",-0.1542857,
"DEU","LTINT","TOT","PC_PA","M","2016-08",-0.1317391,
"DEU","LTINT","TOT","PC_PA","M","2016-09",-0.08409091,
"DEU","LTINT","TOT","PC_PA","M","2016-10",0.002,
"DEU","LTINT","TOT","PC_PA","M","2016-11",0.1890909,
"DEU","LTINT","TOT","PC_PA","M","2016-12",0.2519048,
"DEU","LTINT","TOT","PC_PA","M","2017-01",0.2509091,
"DEU","LTINT","TOT","PC_PA","M","2017-02",0.258,
"DEU","LTINT","TOT","PC_PA","M","2017-03",0.3482609,
"DEU","LTINT","TOT","PC_PA","M","2017-04",0.2255556,
"DEU","LTINT","TOT","PC_PA","M","2017-05",0.3363636,
"DEU","LTINT","TOT","PC_PA","M","2017-06",0.2504762,
"DEU","LTINT","TOT","PC_PA","M","2017-07",0.4557143,
"DEU","LTINT","TOT","PC_PA","M","2017-08",0.3460869,
"DEU","LTINT","TOT","PC_PA","M","2017-09",0.3471428,
"DEU","LTINT","TOT","PC_PA","M","2017-10",0.3725,
"DEU","LTINT","TOT","PC_PA","M","2017-11",0.3081818,
"DEU","LTINT","TOT","PC_PA","M","2017-12",0.2973684,
"DEU","LTINT","TOT","PC_PA","M","2018-01",0.4745454,
"DEU","LTINT","TOT","PC_PA","M","2018-02",0.659,
"DEU","LTINT","TOT","PC_PA","M","2018-03",0.53,
"DEU","LTINT","TOT","PC_PA","M","2018-04",0.4805,
"DEU","LTINT","TOT","PC_PA","M","2018-05",0.45,
"DEU","LTINT","TOT","PC_PA","M","2018-06",0.3271429,
"DEU","LTINT","TOT","PC_PA","M","2018-07",0.275,
"DEU","LTINT","TOT","PC_PA","M","2018-08",0.2908696,
"DEU","LTINT","TOT","PC_PA","M","2018-09",0.3705,
"DEU","LTINT","TOT","PC_PA","M","2018-10",0.3990909,
"DEU","LTINT","TOT","PC_PA","M","2018-11",0.3140909,
"DEU","LTINT","TOT","PC_PA","M","2018-12",0.1870588,
"DEU","LTINT","TOT","PC_PA","M","2019-01",0.1327273,
"DEU","LTINT","TOT","PC_PA","M","2019-02",0.0555,
"DEU","LTINT","TOT","PC_PA","M","2019-03",0.01095238,
"DEU","LTINT","TOT","PC_PA","M","2019-04",-0.0395,
"DEU","LTINT","TOT","PC_PA","M","2019-05",-0.1345455,
"DEU","LTINT","TOT","PC_PA","M","2019-06",-0.3152632,
"DEU","LTINT","TOT","PC_PA","M","2019-07",-0.3882609,
"DEU","LTINT","TOT","PC_PA","M","2019-08",-0.6490909,
"DEU","LTINT","TOT","PC_PA","M","2019-09",-0.5947619,
"DEU","LTINT","TOT","PC_PA","M","2019-10",-0.4695455,
"DEU","LTINT","TOT","PC_PA","M","2019-11",-0.352381,
"DEU","LTINT","TOT","PC_PA","M","2019-12",-0.2994444,
"DEU","LTINT","TOT","PC_PA","M","2020-01",-0.3136364,
"DEU","LTINT","TOT","PC_PA","M","2020-02",-0.466,
"DEU","LTINT","TOT","PC_PA","M","2020-03",-0.5418182,
"DEU","LTINT","TOT","PC_PA","M","2020-04",-0.4495,
"DEU","LTINT","TOT","PC_PA","M","2020-05",-0.5165,
"DEU","LTINT","TOT","PC_PA","M","2020-06",-0.4342857,
"DEU","LTINT","TOT","PC_PA","M","2020-07",-0.5230435,
"DEU","LTINT","TOT","PC_PA","M","2020-08",-0.5233333,
"DEU","LTINT","TOT","PC_PA","M","2020-09",-0.5245454,
"DEU","LTINT","TOT","PC_PA","M","2020-10",-0.6072727,
"DEU","LTINT","TOT","PC_PA","M","2020-11",-0.6152381,
"DEU","LTINT","TOT","PC_PA","M","2020-12",-0.619,
"ITA","LTINT","TOT","PC_PA","M","2007-01",4.2628,
"ITA","LTINT","TOT","PC_PA","M","2007-02",4.2801,
"ITA","LTINT","TOT","PC_PA","M","2007-03",4.1762,
"ITA","LTINT","TOT","PC_PA","M","2007-04",4.3702,
"ITA","LTINT","TOT","PC_PA","M","2007-05",4.4897,
"ITA","LTINT","TOT","PC_PA","M","2007-06",4.772,
"ITA","LTINT","TOT","PC_PA","M","2007-07",4.7603,
"ITA","LTINT","TOT","PC_PA","M","2007-08",4.5835,
"ITA","LTINT","TOT","PC_PA","M","2007-09",4.5736,
"ITA","LTINT","TOT","PC_PA","M","2007-10",4.5909,
"ITA","LTINT","TOT","PC_PA","M","2007-11",4.4493,
"ITA","LTINT","TOT","PC_PA","M","2007-12",4.5385,
"ITA","LTINT","TOT","PC_PA","M","2008-01",4.3989,
"ITA","LTINT","TOT","PC_PA","M","2008-02",4.3544,
"ITA","LTINT","TOT","PC_PA","M","2008-03",4.38,
"ITA","LTINT","TOT","PC_PA","M","2008-04",4.53,
"ITA","LTINT","TOT","PC_PA","M","2008-05",4.7,
"ITA","LTINT","TOT","PC_PA","M","2008-06",5.1056,
"ITA","LTINT","TOT","PC_PA","M","2008-07",5.0946,
"ITA","LTINT","TOT","PC_PA","M","2008-08",4.8139,
"ITA","LTINT","TOT","PC_PA","M","2008-09",4.8041,
"ITA","LTINT","TOT","PC_PA","M","2008-10",4.78,
"ITA","LTINT","TOT","PC_PA","M","2008-11",4.7425,
"ITA","LTINT","TOT","PC_PA","M","2008-12",4.4688,
"ITA","LTINT","TOT","PC_PA","M","2009-01",4.6213,
"ITA","LTINT","TOT","PC_PA","M","2009-02",4.5358,
"ITA","LTINT","TOT","PC_PA","M","2009-03",4.4584,
"ITA","LTINT","TOT","PC_PA","M","2009-04",4.356,
"ITA","LTINT","TOT","PC_PA","M","2009-05",4.4151,
"ITA","LTINT","TOT","PC_PA","M","2009-06",4.6062,
"ITA","LTINT","TOT","PC_PA","M","2009-07",4.3729,
"ITA","LTINT","TOT","PC_PA","M","2009-08",4.116,
"ITA","LTINT","TOT","PC_PA","M","2009-09",4.088,
"ITA","LTINT","TOT","PC_PA","M","2009-10",4.101,
"ITA","LTINT","TOT","PC_PA","M","2009-11",4.0565,
"ITA","LTINT","TOT","PC_PA","M","2009-12",4.007,
"ITA","LTINT","TOT","PC_PA","M","2010-01",4.0779,
"ITA","LTINT","TOT","PC_PA","M","2010-02",4.047,
"ITA","LTINT","TOT","PC_PA","M","2010-03",3.945,
"ITA","LTINT","TOT","PC_PA","M","2010-04",3.9956,
"ITA","LTINT","TOT","PC_PA","M","2010-05",3.99,
"ITA","LTINT","TOT","PC_PA","M","2010-06",4.1,
"ITA","LTINT","TOT","PC_PA","M","2010-07",4.03,
"ITA","LTINT","TOT","PC_PA","M","2010-08",3.8,
"ITA","LTINT","TOT","PC_PA","M","2010-09",3.86,
"ITA","LTINT","TOT","PC_PA","M","2010-10",3.8,
"ITA","LTINT","TOT","PC_PA","M","2010-11",4.18,
"ITA","LTINT","TOT","PC_PA","M","2010-12",4.603,
"ITA","LTINT","TOT","PC_PA","M","2011-01",4.729,
"ITA","LTINT","TOT","PC_PA","M","2011-02",4.7356,
"ITA","LTINT","TOT","PC_PA","M","2011-03",4.8754,
"ITA","LTINT","TOT","PC_PA","M","2011-04",4.841,
"ITA","LTINT","TOT","PC_PA","M","2011-05",4.756,
"ITA","LTINT","TOT","PC_PA","M","2011-06",4.8156,
"ITA","LTINT","TOT","PC_PA","M","2011-07",5.463,
"ITA","LTINT","TOT","PC_PA","M","2011-08",5.2705,
"ITA","LTINT","TOT","PC_PA","M","2011-09",5.746,
"ITA","LTINT","TOT","PC_PA","M","2011-10",5.9719,
"ITA","LTINT","TOT","PC_PA","M","2011-11",7.0571,
"ITA","LTINT","TOT","PC_PA","M","2011-12",6.812,
"ITA","LTINT","TOT","PC_PA","M","2012-01",6.5366,
"ITA","LTINT","TOT","PC_PA","M","2012-02",5.546,
"ITA","LTINT","TOT","PC_PA","M","2012-03",5.0488,
"ITA","LTINT","TOT","PC_PA","M","2012-04",5.6758,
"ITA","LTINT","TOT","PC_PA","M","2012-05",5.7833,
"ITA","LTINT","TOT","PC_PA","M","2012-06",5.9037,
"ITA","LTINT","TOT","PC_PA","M","2012-07",5.996,
"ITA","LTINT","TOT","PC_PA","M","2012-08",5.822,
"ITA","LTINT","TOT","PC_PA","M","2012-09",5.254,
"ITA","LTINT","TOT","PC_PA","M","2012-10",4.9529,
"ITA","LTINT","TOT","PC_PA","M","2012-11",4.8514,
"ITA","LTINT","TOT","PC_PA","M","2012-12",4.5416,
"ITA","LTINT","TOT","PC_PA","M","2013-01",4.2077,
"ITA","LTINT","TOT","PC_PA","M","2013-02",4.4929,
"ITA","LTINT","TOT","PC_PA","M","2013-03",4.6404,
"ITA","LTINT","TOT","PC_PA","M","2013-04",4.278,
"ITA","LTINT","TOT","PC_PA","M","2013-05",3.964,
"ITA","LTINT","TOT","PC_PA","M","2013-06",4.3789,
"ITA","LTINT","TOT","PC_PA","M","2013-07",4.4183,
"ITA","LTINT","TOT","PC_PA","M","2013-08",4.4191,
"ITA","LTINT","TOT","PC_PA","M","2013-09",4.5411,
"ITA","LTINT","TOT","PC_PA","M","2013-10",4.2476,
"ITA","LTINT","TOT","PC_PA","M","2013-11",4.0951,
"ITA","LTINT","TOT","PC_PA","M","2013-12",4.114,
"ITA","LTINT","TOT","PC_PA","M","2014-01",3.866,
"ITA","LTINT","TOT","PC_PA","M","2014-02",3.6512,
"ITA","LTINT","TOT","PC_PA","M","2014-03",3.3994,
"ITA","LTINT","TOT","PC_PA","M","2014-04",3.228,
"ITA","LTINT","TOT","PC_PA","M","2014-05",3.1233,
"ITA","LTINT","TOT","PC_PA","M","2014-06",2.92,
"ITA","LTINT","TOT","PC_PA","M","2014-07",2.7936,
"ITA","LTINT","TOT","PC_PA","M","2014-08",2.6327,
"ITA","LTINT","TOT","PC_PA","M","2014-09",2.4,
"ITA","LTINT","TOT","PC_PA","M","2014-10",2.424,
"ITA","LTINT","TOT","PC_PA","M","2014-11",2.2904,
"ITA","LTINT","TOT","PC_PA","M","2014-12",1.9898,
"ITA","LTINT","TOT","PC_PA","M","2015-01",1.7021,
"ITA","LTINT","TOT","PC_PA","M","2015-02",1.5568,
"ITA","LTINT","TOT","PC_PA","M","2015-03",1.2942,
"ITA","LTINT","TOT","PC_PA","M","2015-04",1.3574,
"ITA","LTINT","TOT","PC_PA","M","2015-05",1.812,
"ITA","LTINT","TOT","PC_PA","M","2015-06",2.199,
"ITA","LTINT","TOT","PC_PA","M","2015-07",2.0421,
"ITA","LTINT","TOT","PC_PA","M","2015-08",1.839,
"ITA","LTINT","TOT","PC_PA","M","2015-09",1.92,
"ITA","LTINT","TOT","PC_PA","M","2015-10",1.696,
"ITA","LTINT","TOT","PC_PA","M","2015-11",1.5702,
"ITA","LTINT","TOT","PC_PA","M","2015-12",1.5786,
"ITA","LTINT","TOT","PC_PA","M","2016-01",1.534,
"ITA","LTINT","TOT","PC_PA","M","2016-02",1.558,
"ITA","LTINT","TOT","PC_PA","M","2016-03",1.375,
"ITA","LTINT","TOT","PC_PA","M","2016-04",1.4418,
"ITA","LTINT","TOT","PC_PA","M","2016-05",1.5263,
"ITA","LTINT","TOT","PC_PA","M","2016-06",1.4535,
"ITA","LTINT","TOT","PC_PA","M","2016-07",1.2272,
"ITA","LTINT","TOT","PC_PA","M","2016-08",1.1763,
"ITA","LTINT","TOT","PC_PA","M","2016-09",1.2661,
"ITA","LTINT","TOT","PC_PA","M","2016-10",1.45,
"ITA","LTINT","TOT","PC_PA","M","2016-11",1.943,
"ITA","LTINT","TOT","PC_PA","M","2016-12",1.886,
"ITA","LTINT","TOT","PC_PA","M","2017-01",1.9911,
"ITA","LTINT","TOT","PC_PA","M","2017-02",2.352,
"ITA","LTINT","TOT","PC_PA","M","2017-03",2.401,
"ITA","LTINT","TOT","PC_PA","M","2017-04",2.257,
"ITA","LTINT","TOT","PC_PA","M","2017-05",2.194,
"ITA","LTINT","TOT","PC_PA","M","2017-06",2.053,
"ITA","LTINT","TOT","PC_PA","M","2017-07",2.231,
"ITA","LTINT","TOT","PC_PA","M","2017-08",2.1099,
"ITA","LTINT","TOT","PC_PA","M","2017-09",2.1095,
"ITA","LTINT","TOT","PC_PA","M","2017-10",2.0738,
"ITA","LTINT","TOT","PC_PA","M","2017-11",1.7888,
"ITA","LTINT","TOT","PC_PA","M","2017-12",1.794,
"ITA","LTINT","TOT","PC_PA","M","2018-01",1.984,
"ITA","LTINT","TOT","PC_PA","M","2018-02",2.081,
"ITA","LTINT","TOT","PC_PA","M","2018-03",1.9655,
"ITA","LTINT","TOT","PC_PA","M","2018-04",1.7734,
"ITA","LTINT","TOT","PC_PA","M","2018-05",2.1797,
"ITA","LTINT","TOT","PC_PA","M","2018-06",2.7442,
"ITA","LTINT","TOT","PC_PA","M","2018-07",2.643,
"ITA","LTINT","TOT","PC_PA","M","2018-08",3.161,
"ITA","LTINT","TOT","PC_PA","M","2018-09",2.959,
"ITA","LTINT","TOT","PC_PA","M","2018-10",3.469,
"ITA","LTINT","TOT","PC_PA","M","2018-11",3.39,
"ITA","LTINT","TOT","PC_PA","M","2018-12",2.975,
"ITA","LTINT","TOT","PC_PA","M","2019-01",2.77,
"ITA","LTINT","TOT","PC_PA","M","2019-02",2.812,
"ITA","LTINT","TOT","PC_PA","M","2019-03",2.6899,
"ITA","LTINT","TOT","PC_PA","M","2019-04",2.6176,
"ITA","LTINT","TOT","PC_PA","M","2019-05",2.644,
"ITA","LTINT","TOT","PC_PA","M","2019-06",2.284,
"ITA","LTINT","TOT","PC_PA","M","2019-07",1.196,
"ITA","LTINT","TOT","PC_PA","M","2019-08",1.4036,
"ITA","LTINT","TOT","PC_PA","M","2019-09",0.9021,
"ITA","LTINT","TOT","PC_PA","M","2019-10",1.0036,
"ITA","LTINT","TOT","PC_PA","M","2019-11",1.2659,
"ITA","LTINT","TOT","PC_PA","M","2019-12",1.37,
"ITA","LTINT","TOT","PC_PA","M","2020-01",1.275,
"ITA","LTINT","TOT","PC_PA","M","2020-02",0.955,
"ITA","LTINT","TOT","PC_PA","M","2020-03",1.55,
